name,address,city,cuisine
arnie morton's of chicago, 435 s. la cienega blv., los angeles, american
arnie morton's of chicago, 435 s. la cienega blvd., los angeles, steakhouses
art's delicatessen, 12224 ventura blvd., studio city, american
art's deli, 12224 ventura blvd., studio city, delis
hotel bel-air, 701 stone canyon rd., bel air, californian
bel-air hotel, 701 stone canyon rd., bel air, californian
cafe bizou, 14016 ventura blvd., sherman oaks, french
cafe bizou, 14016 ventura blvd., sherman oaks, french bistro
campanile, 624 s. la brea ave., los angeles, american
campanile, 624 s. la brea ave., los angeles, californian
chinois on main, 2709 main st., santa monica, french
chinois on main, 2709 main st., santa monica, pacific new wave
citrus, 6703 melrose ave., los angeles, californian
citrus, 6703 melrose ave., los angeles, californian
fenix, 8358 sunset blvd. west, hollywood, american
fenix at the argyle, 8358 sunset blvd., w. hollywood, french (new)
granita, 23725 w. malibu rd., malibu, californian
granita, 23725 w. malibu rd., malibu, californian
grill on the alley, 9560 dayton way, los angeles, american
grill  the, 9560 dayton way, beverly hills, american (traditional)
restaurant katsu, 1972 n. hillhurst ave., los angeles, asian
katsu, 1972 hillhurst ave., los feliz, japanese
l'orangerie, 903 n. la cienega blvd., los angeles, french
l'orangerie, 903 n. la cienega blvd., w. hollywood, french (classic)
le chardonnay, 8284 melrose ave., los angeles, french
le chardonnay (los angeles), 8284 melrose ave., los angeles, french bistro
locanda veneta, 3rd st., los angeles, italian
locanda veneta, 8638 w. third st., los angeles, italian
matsuhisa, 129 n. la cienega blvd., beverly hills, asian
matsuhisa, 129 n. la cienega blvd., beverly hills, seafood
the palm, 9001 santa monica blvd., los angeles, american
palm  the (los angeles), 9001 santa monica blvd., w. hollywood, steakhouses
patina, 5955 melrose ave., los angeles, californian
patina, 5955 melrose ave., los angeles, californian
philippe's the original, 1001 n. alameda st., los angeles, american
philippe the original, 1001 n. alameda st., chinatown, cafeterias
pinot bistro, 12969 ventura blvd., los angeles, french
pinot bistro, 12969 ventura blvd., studio city, french bistro
rex il ristorante, 617 s. olive st., los angeles, italian
rex il ristorante, 617 s. olive st., los angeles, nuova cucina italian
spago, 1114 horn ave., los angeles, californian
spago (los angeles), 8795 sunset blvd., w. hollywood, californian
valentino, 3115 pico blvd., santa monica, italian
valentino, 3115 pico blvd., santa monica, italian
yujean kang's gourmet chinese cuisine, 67 n. raymond ave., los angeles, asian
yujean kang's, 67 n. raymond ave., pasadena, chinese
21 club, 21 w. 52nd st., new york, american
21 club, 21 w. 52nd st., new york city, american (new)
aquavit, 13 w. 54th st., new york, continental
aquavit, 13 w. 54th st., new york city, scandinavian
aureole, 34 e. 61st st., new york, american
aureole, 34 e. 61st st., new york city, american (new)
cafe lalo, 201 w. 83rd st., new york, coffee bar
cafe lalo, 201 w. 83rd st., new york city, coffeehouses
cafe des artistes, 1 w. 67th st., new york, continental
cafe des artistes, 1 w. 67th st., new york city, french (classic)
carmine's, 2450 broadway  between 90th and 91st sts., new york, italian
carmine's, 2450 broadway, new york city, italian
carnegie deli, 854 7th ave.  between 54th and 55th sts., new york, delicatessen
carnegie deli, 854 seventh ave., new york city, delis
chanterelle, 2 harrison st.  near hudson st., new york, american
chanterelle, 2 harrison st., new york city, french (new)
daniel, 20 e. 76th st., new york, french
daniel, 20 e. 76th st., new york city, french (new)
dawat, 210 e. 58th st., new york, asian
dawat, 210 e. 58th st., new york city, indian
felidia, 243 e. 58th st., new york, italian
felidia, 243 e. 58th st., new york city, italian
four seasons grill room, 99 e. 52nd st., new york, american
four seasons, 99 e. 52nd st., new york city, american (new)
gotham bar & grill, 12 e. 12th st., new york, american
gotham bar & grill, 12 e. 12th st., new york city, american (new)
gramercy tavern, 42 e. 20th st.  between park ave. s and broadway, new york, american
gramercy tavern, 42 e. 20th st., new york city, american (new)
island spice, 402 w. 44th st., new york, tel caribbean
island spice, 402 w. 44th st., new york city, caribbean
jo jo, 160 e. 64th st., new york, american
jo jo, 160 e. 64th st., new york city, french bistro
la caravelle, 33 w. 55th st., new york, french
la caravelle, 33 w. 55th st., new york city, french (classic)
la cote basque, 60 w. 55th st.  between 5th and 6th ave., new york, french
la cote basque, 60 w. 55th st., new york city, french (classic)
le bernardin, 155 w. 51st st., new york, french
le bernardin, 155 w. 51st st., new york city, seafood
les celebrites, 160 central park s, new york, french
les celebrites, 155 w. 58th st., new york city, french (classic)
lespinasse, 2 e. 55th st., new york, american
lespinasse (new york city), 2 e. 55th st., new york city, asian
lutece, 249 e. 50th st., new york, french
lutece, 249 e. 50th st., new york city, french (classic)
manhattan ocean club, 57 w. 58th st., new york, seafood
manhattan ocean club, 57 w. 58th st., new york city, seafood
march, 405 e. 58th st., new york, american
march, 405 e. 58th st., new york city, american (new)
mesa grill, 102 5th ave.  between 15th and 16th sts., new york, american
mesa grill, 102 fifth ave., new york city, southwestern
mi cocina, 57 jane st.  off hudson st., new york, mexican
mi cocina, 57 jane st., new york city, mexican
montrachet, 239 w. broadway  between walker and white sts., new york, french
montrachet, 239 w. broadway, new york city, french bistro
oceana, 55 e. 54th st., new york, seafood
oceana, 55 e. 54th st., new york city, seafood
park avenue cafe, 100 e. 63rd st., new york, american
park avenue cafe (new york city), 100 e. 63rd st., new york city, american (new)
petrossian, 182 w. 58th st., new york, french
petrossian, 182 w. 58th st., new york city, russian
picholine, 35 w. 64th st., new york, mediterranean
picholine, 35 w. 64th st., new york city, mediterranean
pisces, 95 ave. a at 6th st., new york, seafood
pisces, 95 ave. a, new york city, seafood
rainbow room, 30 rockefeller plaza, new york, or 212/632-5100 american
rainbow room, 30 rockefeller plaza, new york city, american (new)
river cafe, 1 water st. at the east river, brooklyn, american
river cafe, 1 water st., brooklyn, american (new)
san domenico, 240 central park s, new york, italian
san domenico, 240 central park s., new york city, italian
second avenue deli, 156 2nd ave. at 10th st., new york, delicatessen
second avenue deli, 156 second ave., new york city, delis
seryna, 11 e. 53rd st., new york, asian
seryna, 11 e. 53rd st., new york city, japanese
shun lee west, 43 w. 65th st., new york, asian
shun lee palace, 155 e. 55th st., new york city, chinese
sign of the dove, 1110 3rd ave. at 65th st., new york, american
sign of the dove, 1110 third ave., new york city, american (new)
smith & wollensky, 201 e. 49th st., new york, american
smith & wollensky, 797 third ave., new york city, steakhouses
tavern on the green, in central park at 67th st., new york, american
tavern on the green, central park west, new york city, american (new)
uncle nick's, 747 9th ave.  between 50th and 51st sts., new york, mediterranean
uncle nick's, 747 ninth ave., new york city, greek
union square cafe, 21 e. 16th st., new york, american
union square cafe, 21 e. 16th st., new york city, american (new)
virgil's, 152 w. 44th st., new york, american
virgil's real bbq, 152 w. 44th st., new york city, bbq
chin's, 3200 las vegas blvd. s, las vegas, asian
chin's, 3200 las vegas blvd. s., las vegas, chinese
coyote cafe, 3799 las vegas blvd. s, las vegas, southwestern
coyote cafe (las vegas), 3799 las vegas blvd. s., las vegas, southwestern
le montrachet, 3000 w. paradise rd., las vegas, continental
le montrachet bistro, 3000 paradise rd., las vegas, french bistro
palace court, 3570 las vegas blvd. s, las vegas, continental
palace court, 3570 las vegas blvd. s., las vegas, french (new)
second street grille, 200 e. fremont st., las vegas, seafood
second street grill, 200 e. fremont st., las vegas, pacific rim
steak house, 2880 las vegas blvd. s, las vegas, steak houses
steak house  the, 2880 las vegas blvd. s., las vegas, steakhouses
tillerman, 2245 e. flamingo rd., las vegas, seafood
tillerman  the, 2245 e. flamingo rd., las vegas, steakhouses
abruzzi, 2355 peachtree rd.  peachtree battle shopping center, atlanta, italian
abruzzi, 2355 peachtree rd. ne, atlanta, italian
bacchanalia, 3125 piedmont rd.  near peachtree rd., atlanta, international
bacchanalia, 3125 piedmont rd., atlanta, californian
bone's, 3130 piedmont road, atlanta, american
bone's restaurant, 3130 piedmont rd. ne, atlanta, steakhouses
brasserie le coze, 3393 peachtree rd.  lenox square mall  near neiman marcus, atlanta, french
brasserie le coze, 3393 peachtree rd., atlanta, french bistro
buckhead diner, 3073 piedmont road, atlanta, american
buckhead diner, 3073 piedmont rd., atlanta, american (new)
ciboulette, 1529 piedmont ave., atlanta, french
ciboulette restaurant, 1529 piedmont ave., atlanta, french (new)
delectables, 1 margaret mitchell sq., atlanta, american
delectables, 1 margaret mitchell sq., atlanta, cafeterias
georgia grille, 2290 peachtree rd.  peachtree square shopping center, atlanta, american
georgia grille, 2290 peachtree rd., atlanta, southwestern
hedgerose heights inn, 490 e. paces ferry rd., atlanta, international
hedgerose heights inn  the, 490 e. paces ferry rd. ne, atlanta, continental
heera of india, 595 piedmont ave.  rio shopping mall, atlanta, asian
heera of india, 595 piedmont ave., atlanta, indian
indigo coastal grill, 1397 n. highland ave., atlanta, caribbean
indigo coastal grill, 1397 n. highland ave., atlanta, eclectic
la grotta, 2637 peachtree rd.  peachtree house condominium, atlanta, italian
la grotta, 2637 peachtree rd. ne, atlanta, italian
mary mac's tea room, 224 ponce de leon ave., atlanta, southern
mary mac's tea room, 224 ponce de leon ave., atlanta, southern/soul
nikolai's roof, 255 courtland st.  at harris st., atlanta, continental
nikolai's roof, 255 courtland st., atlanta, continental
pano's and paul's, 1232 w. paces ferry rd., atlanta, international
pano's & paul's, 1232 w. paces ferry rd., atlanta, american (new)
cafe  ritz-carlton  buckhead, 3434 peachtree rd., atlanta, ext 6108 international
ritz-carlton cafe (buckhead), 3434 peachtree rd. ne, atlanta, american (new)
dining room  ritz-carlton  buckhead, 3434 peachtree rd., atlanta, international
ritz-carlton dining room (buckhead), 3434 peachtree rd. ne, atlanta, american (new)
restaurant  ritz-carlton  atlanta, 181 peachtree st., atlanta, continental
ritz-carlton restaurant, 181 peachtree st., atlanta, french (classic)
toulouse, b peachtree rd., atlanta, french
toulouse, 293-b peachtree rd., atlanta, french (new)
veni vidi vici, 41 14th st., atlanta, italian
veni vidi vici, 41 14th st., atlanta, italian
alain rondelli, 126 clement st., san francisco, french
alain rondelli, 126 clement st., san francisco, french (new)
aqua, 252 california st., san francisco, seafood
aqua, 252 california st., san francisco, american (new)
boulevard, 1 mission st., san francisco, american
boulevard, 1 mission st., san francisco, american (new)
cafe claude, 7 claude la., san francisco, french
cafe claude, 7 claude ln., san francisco, french bistro
campton place, 340 stockton st., san francisco, american
campton place, 340 stockton st., san francisco, american (new)
chez michel, 804 northpoint, san francisco, french
chez michel, 804 north point st., san francisco, californian
fleur de lys, 777 sutter st., san francisco, french
fleur de lys, 777 sutter st., san francisco, french (new)
fringale, 570 4th st., san francisco, french
fringale, 570 fourth st., san francisco, french bistro
hawthorne lane, 22 hawthorne st., san francisco, american
hawthorne lane, 22 hawthorne st., san francisco, californian
khan toke thai house, 5937 geary blvd., san francisco, asian
khan toke thai house, 5937 geary blvd., san francisco, thai
la folie, 2316 polk st., san francisco, french
la folie, 2316 polk st., san francisco, french (new)
lulu, 816 folsom st., san francisco, mediterranean
lulu restaurant-bis-cafe, 816 folsom st., san francisco, mediterranean
masa's, 648 bush st., san francisco, french
masa's, 648 bush st., san francisco, french (new)
mifune japan center  kintetsu building, 1737 post st., san francisco, asian
mifune, 1737 post st., san francisco, japanese
plumpjack cafe, 3201 fillmore st., san francisco, mediterranean
plumpjack cafe, 3127 fillmore st., san francisco, american (new)
postrio, 545 post st., san francisco, american
postrio, 545 post st., san francisco, californian
ritz-carlton restaurant and dining room, 600 stockton st., san francisco, american
ritz-carlton dining room (san francisco), 600 stockton st., san francisco, french (new)
rose pistola, 532 columbus ave., san francisco, italian
rose pistola, 532 columbus ave., san francisco, italian
adriano's ristorante, 2930 beverly glen circle, los angeles, italian
barney greengrass, 9570 wilshire blvd., beverly hills, american
beaurivage, 26025 pacific coast hwy., malibu, french
bistro garden, 176 n. canon dr., los angeles, californian
border grill, 4th st., los angeles, mexican
broadway deli, 3rd st. promenade, santa monica, american
ca'brea, 346 s. la brea ave., los angeles, italian
ca'del sol, 4100 cahuenga blvd., los angeles, italian
cafe pinot, 700 w. fifth st., los angeles, californian
california pizza kitchen, 207 s. beverly dr., los angeles, californian
canter's, 419 n. fairfax ave., los angeles, american
cava, 3rd st., los angeles, mediterranean
cha cha cha, 656 n. virgil ave., los angeles, caribbean
chan dara, 310 n. larchmont blvd., los angeles, asian
clearwater cafe, 168 w. colorado blvd., los angeles, health food
dining room, 9500 wilshire blvd., los angeles, californian
dive!, 10250 santa monica blvd., los angeles, dive american
drago, 2628 wilshire blvd., santa monica, italian
drai's, 730 n. la cienega blvd., los angeles, french
dynasty room, 930 hilgard ave., los angeles, continental
eclipse, 8800 melrose ave., los angeles, californian
ed debevic's, 134 n. la cienega, los angeles, american
el cholo, 1121 s. western ave., los angeles, mexican
gilliland's, 2424 main st., santa monica, american
gladstone's, 4 fish 17300 pacific coast hwy. at sunset blvd., pacific palisades, american
hard rock cafe, 8600 beverly blvd., los angeles, american
harry's bar & american grill, 2020 ave. of the stars, los angeles, italian
il fornaio cucina italiana, 301 n. beverly dr., los angeles, italian
jack sprat's grill, 10668 w. pico blvd., los angeles, health food
jackson's farm, 439 n. beverly drive, los angeles, californian
jimmy's, 201 moreno dr., los angeles, continental
joss, 9255 sunset blvd., los angeles, asian
le colonial, 8783 beverly blvd., los angeles, asian
le dome, 8720 sunset blvd., los angeles, french
louise's trattoria, 4500 los feliz blvd., los angeles, italian
mon kee seafood restaurant, 679 n. spring st., los angeles, asian
morton's, 8764 melrose ave., los angeles, american
nate 'n' al's, 414 n. beverly dr., los angeles, american
nicola, 601 s. figueroa st., los angeles, american
ocean avenue, 1401 ocean ave., santa monica, american
orleans, 11705 national blvd., los angeles, cajun
pacific dining car, 6th st., los angeles, american
paty's, 10001 riverside dr., toluca lake, american
pinot hollywood, 1448 n. gower st., los angeles, californian
posto, 14928 ventura blvd., sherman oaks, italian
prego, 362 n. camden dr., los angeles, italian
rj's the rib joint, 252 n. beverly dr., los angeles, american
remi, 3rd st. promenade, santa monica, italian
restaurant horikawa, 111 s. san pedro st., los angeles, asian
roscoe's house of chicken 'n' waffles, 1514 n. gower st., los angeles, american
schatzi on main, 3110 main st., los angeles, continental
sofi, 3rd st., los angeles, mediterranean
swingers, 8020 beverly blvd., los angeles, american
tavola calda, 7371 melrose ave., los angeles, italian
the mandarin, 430 n. camden dr., los angeles, asian
tommy tang's, 7313 melrose ave., los angeles, asian
tra di noi, 3835 cross creek rd., los angeles, italian
trader vic's, 9876 wilshire blvd., los angeles, asian
vida, 1930 north hillhurst ave., los feliz, american
west beach cafe, 60 n. venice blvd., los angeles, american
20 mott, 20 mott st.  between bowery and pell st., new york, asian
9 jones street, 9 jones st., new york, american
adrienne, 700 5th ave. at 55th st., new york, french
agrotikon, 322 e. 14 st.  between 1st and 2nd aves., new york, mediterranean
aja, 937 broadway at 22nd st., new york, american
alamo, 304 e. 48th st., new york, mexican
alley's end, 311 w. 17th st., new york, american
ambassador grill, 1 united nations plaza at 44th st., new york, american
american place, 2 park ave. at 32nd st., new york, american
anche vivolo, 222 e. 58th st.  between 2nd and 3rd aves., new york, italian
arizona, 206 206 e. 60th st., new york, american
arturo's, 106 w. houston st.  off thompson st., new york, italian
au mandarin, 200-250 vesey st. world financial center, new york, asian
bar anise, 1022 3rd ave.  between 60th and 61st sts., new york, mediterranean
barbetta, 321 w. 46th st., new york, italian
ben benson's, 123 w. 52nd st., new york, american
big cup, 228 8th ave.  between 21st and 22nd sts., new york, coffee bar
billy's, 948 1st ave.  between 52nd and 53rd sts., new york, american
boca chica, 13 1st ave.  near 1st st., new york, latin american
bolo, 23 e. 22nd st., new york, mediterranean
boonthai, 1393a 2nd ave.  between 72nd and 73rd sts., new york, asian
bouterin, 420 e. 59th st.  off 1st ave., new york, french
brothers bar-b-q, 225 varick st. at clarkston st., new york, american
bruno, 240 e. 58th st., new york, italian
bryant park grill  roof restaurant and bp cafe, 25 w. 40th st.  between 5th and 6th aves., new york, american
c3, 103 waverly pl.  near washington sq., new york, american
ct, 111 e. 22nd st.  between park ave. s and lexington ave., new york, french
cafe bianco, 1486 2nd ave.  between 77th and 78th sts., new york, coffee bar
cafe botanica, 160 central park s, new york, french
cafe la fortuna, 69 w. 71st st., new york, coffee bar
cafe luxembourg, 200 w. 70th st., new york, french
cafe pierre, 2 e. 61st st., new york, french
cafe centro, 200 park ave.  between 45th st. and vanderbilt ave., new york, french
cafe fes, 246 w. 4th st. at charles st., new york, mediterranean
caffe dante, 81 macdougal st.  between houston and bleeker sts., new york, coffee bar
caffe dell'artista, 46 greenwich ave., new york, coffee bar
caffe lure, 169 sullivan st.  between houston and bleecker sts., new york, french
caffe reggio, 119 macdougal st.  between 3rd and bleecker sts., new york, coffee bar
caffe roma, 385 broome st. at mulberry, new york, coffee bar
caffe vivaldi, 32 jones st. at bleecker st., new york, coffee bar
caffe bondi ristorante, 7 w. 20th st., new york, italian
capsouto freres, 451 washington st.  near watts st., new york, french
captain's table, 860 2nd ave. at 46th st., new york, seafood
casa la femme, 150 wooster st.  between houston and prince sts., new york, middle eastern
cendrillon asian grill & marimba bar, 45 mercer st.  between broome and grand sts., new york, asian
chez jacqueline, 72 macdougal st.  between w. houston and bleecker sts., new york, french
chiam, 160 e. 48th st., new york, asian
china grill, 60 w. 53rd st., new york, american
cite, 120 w. 51st st., new york, french
coco pazzo, 23 e. 74th st., new york, italian
columbus bakery, 53rd sts., new york, coffee bar
corrado cafe, 1013 3rd ave.  between 60th and 61st sts., new york, coffee bar
cupcake cafe, 522 9th ave. at 39th st., new york, coffee bar
da nico, 164 mulberry st.  between grand and broome sts., new york, italian
dean & deluca, 121 prince st., new york, coffee bar
diva, 341 w. broadway  near grand st., new york, italian
dix et sept, 181 w. 10th st., new york, french
docks, 633 3rd ave. at 40th st., new york, seafood
duane park cafe, 157 duane st.  between w. broadway and hudson st., new york, american
el teddy's, 219 w. broadway  between franklin and white sts., new york, mexican
emily's, 1325 5th ave. at 111th st., new york, american
empire korea, 6 e. 32nd st., new york, asian
ernie's, 2150 broadway  between 75th and 76th sts., new york, american
evergreen cafe, 1288 1st ave. at 69th st., new york, asian
f. ille ponte ristorante, 39 desbrosses st.  near west st., new york, italian
felix, 340 w. broadway at grand st., new york, french
ferrier, 29 e. 65th st., new york, french
fifty seven fifty seven, 57 e. 57th st., new york, american
film center cafe, 635 9th ave.  between 44th and 45th sts., new york, american
fiorello's roman cafe, 1900 broadway  between 63rd and 64th sts., new york, italian
firehouse, 522 columbus ave.  between 85th and 86th sts., new york, american
first, 87 1st ave.  between 5th and 6th sts., new york, american
fishin eddie, 73 w. 71st st., new york, seafood
fleur de jour, 348 e. 62nd st., new york, coffee bar
flowers, 21 west 17th st.  between 5th and 6th aves., new york, american
follonico, 6 w. 24th st., new york, italian
fraunces tavern, 54 pearl st. at broad st., new york, american
french roast, 458 6th ave. at 11th st., new york, french
french roast cafe, 2340 broadway at 85th st., new york, coffee bar
frico bar, 402 w. 43rd st.  off 9th ave., new york, italian
fujiyama mama, 467 columbus ave.  between 82nd and 83rd sts., new york, asian
gabriela's, 685 amsterdam ave. at 93rd st., new york, mexican
gallagher's, 228 w. 52nd st., new york, american
gianni's, 15 fulton st., new york, seafood
girafe, 208 e. 58th st.  between 2nd and 3rd aves., new york, italian
global, 33 93 2nd ave.  between 5th and 6th sts., new york, american
golden unicorn, 18 e. broadway at catherine st., new york, asian
grand ticino, 228 thompson st.  between w. 3rd and bleecker sts., new york, italian
halcyon, 151 w. 54th st.  in the rihga royal hotel, new york, american
hard rock cafe, 221 w. 57th st., new york, american
hi-life restaurant and lounge, 1340 1st ave. at 72nd st., new york, american
home, 20 cornelia st.  between bleecker and w. 4th st., new york, american
hudson river club, 4 world financial center, new york, american
i trulli, 122 e. 27th st.  between lexington and park aves., new york, italian
il cortile, 125 mulberry st.  between canal and hester sts., new york, italian
il nido, 251 e. 53rd st., new york, italian
inca grill, 492 broome st.  near w. broadway, new york, latin american
indochine, 430 lafayette st.  between 4th st. and astor pl., new york, asian
internet cafe, 82 e. 3rd st.  between 1st and 2nd aves., new york, coffee bar
ipanema, 13 w. 46th st., new york, latin american
jean lafitte, 68 w. 58th st., new york, french
jewel of india, 15 w. 44th st., new york, asian
jimmy sung's, 219 e. 44th st.  between 2nd and 3rd aves., new york, asian
joe allen, 326 w. 46th st., new york, american
judson grill, 152 w. 52nd st., new york, american
l'absinthe, 227 e. 67th st., new york, french
l'auberge, 1191 1st ave.  between 64th and 65th sts., new york, middle eastern
l'auberge du midi, 310 w. 4th st.  between w. 12th and bank sts., new york, french
l'udo, 432 lafayette st.  near astor pl., new york, french
la reserve, 4 w. 49th st., new york, french
lanza restaurant, 168 1st ave.  between 10th and 11th sts., new york, italian
lattanzi ristorante, 361 w. 46th st., new york, italian
layla, 211 w. broadway at franklin st., new york, middle eastern
le chantilly, 106 e. 57th st., new york, french
le colonial, 149 e. 57th st., new york, asian
le gamin, 50 macdougal st.  between houston and prince sts., new york, coffee bar
le jardin, 25 cleveland pl.  near spring st., new york, french
le madri, 168 w. 18th st., new york, italian
le marais, 150 w. 46th st., new york, american
le perigord, 405 e. 52nd st., new york, french
le select, 507 columbus ave.  between 84th and 85th sts., new york, american
les halles, 411 park ave. s  between 28th and 29th sts., new york, french
lincoln tavern, 51 w. 64th st., new york, american
lola, 30 west 22nd st.  between 5th and 6th ave., new york, american
lucky strike, 59 grand st.  between wooster st. and w. broadway, new york, or 212/941-0772 american
mad fish, 2182 broadway  between 77th and 78th sts., new york, seafood
main street, 446 columbus ave.  between 81st and 82nd sts., new york, american
mangia e bevi, 800 9th ave. at 53rd st., new york, italian
manhattan cafe, 1161 1st ave.  between 63rd and 64th sts., new york, american
manila garden, 325 e. 14th st.  between 1st and 2nd aves., new york, asian
marichu, 342 e. 46th st.  between 1st and 2nd aves., new york, french
marquet patisserie, 15 e. 12th st.  between 5th ave. and university pl., new york, coffee bar
match, 160 mercer st.  between houston and prince sts., new york, american
matthew's, 1030 3rd ave. at 61st st., new york, american
mavalli palace, 46 e. 29th st., new york, asian
milan cafe and coffee bar, 120 w. 23rd st., new york, coffee bar
monkey bar, 60 e. 54th st., new york, american
montien, 1134 1st ave.   between 62nd and 63rd sts., new york, asian
morton's, 551 5th ave. at 45th st., new york, american
motown cafe, 104 w. 57th st.  near 6th ave., new york, american
new york kom tang soot bul house, 32 w. 32nd st., new york, asian
new york noodletown, 28 1/2 bowery at bayard st., new york, asian
newsbar, 2 w. 19th st., new york, coffee bar
odeon, 145 w. broadway at thomas st., new york, american
